song_id,artist_name,track_name,release_date,genre,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic
180,the everly brothers,roving gambler,1958,pop,0.452,0.001,0.157,0.001,0.001,0.001,0.029,0.124,0.078,0.303,0.001,0.121,0.001,0.108,0.041,0.001,0.001,0.398,0.498,0.886,0,0.474,0.254,obscene
184,perry como,love letters,1958,pop,0.146,0.002,0.002,0.002,0.306,0.002,0.002,0.195,0.002,0.002,0.245,0.002,0.002,0.002,0.002,0.226,0.002,0.349,0.453,0.928,0.022,0.219,0.119,night/time
186,the drifters,moonlight bay,1958,pop,0.186,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.518,0.002,0.209,0.002,0.002,0.249,0.002,0.6,0.656,0.768,0,0.936,0.566,music
187,the platters,i'll take you home again kathleen,1958,pop,0.156,0.002,0.002,0.002,0.002,0.002,0.002,0.042,0.002,0.002,0.154,0.002,0.357,0.002,0.002,0.418,0.002,0.287,0.558,0.903,0,0.346,0.214,sadness
190,the platters,try a little tenderness,1958,pop,0.226,0.002,0.002,0.41,0.002,0.002,0.159,0.135,0.21,0.002,0.002,0.002,0.002,0.002,0.058,0.002,0.002,0.367,0.657,0.774,0,0.367,0.297,world/life
191,jerry vale,all of me,1958,pop,0.085,0.003,0.003,0.003,0.003,0.003,0.003,0.309,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.51,0.066,0.127,0.679,0.865,0,0.116,0.425,sadness
192,the platters,that old feeling,1958,pop,0.161,0.002,0.002,0.002,0.002,0.002,0.002,0.12,0.002,0.002,0.002,0.002,0.318,0.002,0.002,0.308,0.225,0.473,0.523,0.609,0,0.384,0.274,sadness
195,ricky nelson,my bucket's got a hole in it,1958,pop,0.241,0.04,0.333,0.002,0.002,0.002,0.002,0.034,0.002,0.002,0.002,0.569,0.002,0.002,0.002,0.002,0.002,0.47,0.746,0.299,0,0.885,0.823,violence
199,johnny mathis,blue christmas,1958,pop,0.176,0.002,0.052,0.002,0.063,0.002,0.002,0.002,0.002,0.211,0.547,0.002,0.002,0.002,0.002,0.1,0.002,0.164,0.643,0.782,0,0.234,0.319,music
200,the platters,whispering wind,1958,pop,0.256,0.001,0.001,0.001,0.001,0.001,0.001,0.235,0.001,0.001,0.452,0.001,0.237,0.001,0.001,0.038,0.001,0.272,0.548,0.894,0,0.426,0.217,music
201,jackie wilson,as long as i live,1958,pop,0.221,0.001,0.001,0.567,0.197,0.001,0.001,0.124,0.059,0.001,0.035,0.001,0.001,0.001,0.001,0.001,0.001,0.252,0.691,0.668,0,0.286,0.302,world/life
204,frankie laine,your cheatin' heart,1958,pop,0.226,0.141,0.002,0.002,0.096,0.002,0.002,0.002,0.082,0.002,0.035,0.002,0.002,0.002,0.034,0.548,0.002,0.279,0.488,0.957,0,0.496,0.226,sadness
206,jackie wilson,danny boy,1958,pop,0.196,0.003,0.132,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.596,0.003,0.003,0.003,0.003,0.136,0.097,0.521,0.628,0.8,0,0.411,0.214,music
207,frankie laine,that's my desire,1958,pop,0.156,0.002,0.002,0.002,0.135,0.002,0.041,0.319,0.002,0.002,0.122,0.002,0.288,0.002,0.002,0.069,0.002,0.273,0.533,0.894,0,0.187,0.23,romantic
209,jerry vale,moonglow,1959,pop,0.151,0.003,0.003,0.235,0.003,0.003,0.051,0.092,0.003,0.197,0.315,0.003,0.003,0.003,0.003,0.003,0.003,0.236,0.572,0.924,0.001,0.067,0.17,music
219,shirley bassey,i've got you under my skin,1959,pop,0.317,0.089,0.327,0.001,0.092,0.001,0.045,0.001,0.244,0.001,0.001,0.001,0.001,0.001,0.001,0.143,0.001,0.317,0.722,0.929,0,0.138,0.314,violence
227,johnny mathis,embraceable you,1959,pop,0.161,0.372,0.003,0.003,0.003,0.003,0.003,0.411,0.003,0.003,0.003,0.003,0.003,0.003,0.058,0.003,0.003,0.183,0.481,0.984,0.089,0.072,0.136,romantic
233,johnny mathis,you better go now,1959,pop,0.497,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.137,0.529,0.018,0.001,0.064,0.023,0.001,0.025,0.109,0.16,0.598,0.785,0,0.155,0.318,obscene
235,johnny mathis,secret love,1959,pop,0.256,0.001,0.001,0.746,0.001,0.001,0.001,0.233,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.08,0.616,0.848,0,0.201,0.378,world/life
236,johnny mathis,where are you?,1959,pop,0.372,0.056,0.001,0.183,0.017,0.001,0.001,0.288,0.001,0.001,0.032,0.001,0.02,0.001,0.001,0.301,0.001,0.173,0.641,0.874,0,0.135,0.353,sadness
238,connie francis,have yourself a merry little christmas,1959,pop,0.196,0.002,0.002,0.002,0.002,0.002,0.26,0.002,0.002,0.002,0.407,0.002,0.124,0.079,0.002,0.102,0.002,0.18,0.498,0.707,0,0.156,0.11,music
239,connie francis,i'll be home for christmas,1959,pop,0.095,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.638,0.005,0.281,0.005,0.005,0.005,0.005,0.242,0.543,0.801,0,0.145,0.117,music
243,the brothers four,angelique-o,1959,pop,0.467,0.001,0.055,0.464,0.001,0.001,0.464,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.505,0.503,0.848,0,0.542,0.312,world/life
246,the platters,prisoner of love,1959,pop,0.201,0.002,0.002,0.136,0.165,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.1,0.002,0.538,0.037,0.161,0.597,0.952,0,0.249,0.229,sadness
247,the platters,if i didn't care,1959,pop,0.226,0.001,0.001,0.001,0.001,0.001,0.001,0.034,0.257,0.163,0.001,0.001,0.141,0.001,0.001,0.386,0.001,0.435,0.617,0.924,0,0.252,0.277,sadness
248,the flamingos,as time goes by,1959,pop,0.578,0.001,0.532,0.074,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.225,0.153,0.001,0.001,0.001,0.186,0.509,0.865,0,0.245,0.197,violence
249,johnny mathis,when i fall in love,1959,pop,0.116,0.003,0.003,0.18,0.003,0.003,0.003,0.066,0.003,0.003,0.003,0.003,0.094,0.003,0.003,0.406,0.171,0.296,0.473,0.988,0.054,0.119,0.146,sadness
250,the platters,i'll never smile again,1959,pop,0.08,0.003,0.003,0.003,0.003,0.003,0.003,0.178,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.648,0.124,0.132,0.563,0.976,0.022,0.183,0.176,sadness
254,bobby darin,through a long and sleepless night,1959,pop,0.161,0.002,0.002,0.002,0.306,0.002,0.079,0.002,0.002,0.002,0.002,0.002,0.128,0.002,0.002,0.454,0.002,0.215,0.273,0.611,0.044,0.135,0.066,sadness
257,connie francis,non dimenticar,1959,pop,0.241,0.002,0.002,0.192,0.041,0.002,0.002,0.537,0.002,0.002,0.002,0.002,0.2,0.002,0.002,0.002,0.002,0.272,0.584,0.807,0,0.161,0.136,romantic
259,simon & garfunkel,mrs. robinson,1959,pop,0.357,0.001,0.001,0.001,0.001,0.001,0.15,0.124,0.089,0.001,0.001,0.001,0.001,0.149,0.06,0.336,0.081,0.586,0.532,0.783,0,0.812,0.426,sadness
